dates,India.Google_GroceryMobility.data,India.Google_ResidentialMobility.data,India.Google_TransitStationsMobility.data,India.Google_ParksMobility.data,India.Google_WorkplacesMobility.data,India.Google_RetailMobility.data
2020-02-15,108.38095238095238,98.83333333333333,118.17647058823529,122.71428571428571,114.53333333333333,115.61538461538461
2020-02-16,107.82352941176471,99.66666666666667,113.38888888888889,115.73684210526316,113.45454545454545,113.28571428571429
2020-02-17,106.61111111111111,98.83333333333333,112.6470588235294,113.85,113.125,110.88235294117646
2020-02-18,106.0,99.28571428571429,110.6,113.11111111111111,114.42857142857143,110.3529411764706
2020-02-19,104.8,99.0,111.05882352941177,110.3529411764706,113.4375,108.6
2020-02-20,104.89473684210526,100.375,113.3,113.6842105263158,108.0,108.82352941176471
2020-02-21,108.25,104.5,110.7,119.43478260869566,90.36,109.42105263157895
2020-02-22,106.28571428571429,100.57142857142857,115.55555555555556,122.75,107.58823529411765,112.9375
2020-02-23,104.29411764705883,99.83333333333333,112.94444444444444,114.66666666666667,114.3076923076923,109.11764705882354
2020-02-24,102.95238095238095,98.83333333333333,110.52380952380952,112.42105263157895,113.2,108.73684210526316
2020-02-25,102.52631578947368,99.66666666666667,110.57894736842105,112.04761904761905,110.88235294117646,107.38888888888889
2020-02-26,100.95238095238095,99.125,110.84210526315789,111.0,110.83333333333333,106.11764705882354
2020-02-27,103.11764705882354,99.16666666666667,110.38888888888889,110.6842105263158,112.5,109.125
2020-02-28,103.25,99.75,110.0909090909091,113.25,113.73333333333333,108.52631578947368
2020-02-29,95.82608695652173,98.16666666666667,103.52941176470588,104.5,108.4375,99.875
2020-03-01,99.6842105263158,99.33333333333333,106.21052631578948,107.95454545454545,105.33333333333333,103.1875
2020-03-02,98.38888888888889,98.42857142857143,103.89473684210526,106.9047619047619,107.1875,103.33333333333333
2020-03-03,100.85714285714286,98.0,105.5,108.80952380952381,107.46153846153847,101.7
2020-03-04,110.6842105263158,95.5,119.11764705882354,102.95,116.23529411764706,110.9375
2020-03-05,113.21052631578948,98.85714285714286,125.42105263157895,121.25,119.125,114.94444444444444
2020-03-06,111.70833333333333,101.5,126.5,119.18181818181819,117.0,114.71428571428571
2020-03-07,118.42105263157895,100.0,131.8,103.10526315789474,127.61538461538461,115.86363636363636
2020-03-08,122.20833333333333,98.88888888888889,127.81818181818181,107.85,121.8125,119.04545454545455
2020-03-09,116.0,104.0,115.3913043478261,126.42307692307692,95.5,114.77777777777777
2020-03-10,91.76923076923077,109.94736842105263,94.86206896551724,123.33333333333333,64.29411764705883,95.96296296296296
2020-03-11,107.95652173913044,100.3,119.08,104.6086956521739,102.65384615384616,108.43478260869566
2020-03-12,111.5,100.33333333333333,121.4,114.92,109.71428571428571,110.94736842105263
2020-03-13,113.44444444444444,102.11111111111111,120.9047619047619,120.66666666666667,114.0,113.21052631578948
2020-03-14,108.38095238095238,104.33333333333333,120.47368421052632,115.16666666666667,104.73913043478261,103.91304347826087
2020-03-15,112.3125,103.0,118.9,112.0,120.28571428571429,103.68
2020-03-16,114.23809523809524,102.2,117.33333333333333,115.32,109.4,106.75
2020-03-17,109.57894736842105,99.7,113.625,113.3913043478261,103.95454545454545,104.3913043478261
2020-03-18,112.27777777777777,102.22222222222223,113.57142857142857,110.53846153846153,103.7,102.26086956521739
2020-03-19,110.22222222222223,104.0909090909091,110.0,104.88461538461539,100.75,95.92307692307692
2020-03-20,104.0,106.3076923076923,103.77272727272727,105.04,96.32,88.61538461538461
2020-03-21,93.375,107.14285714285714,88.16666666666667,80.5925925925926,91.32142857142857,75.88
2020-03-22,29.782608695652176,119.125,44.5,49.166666666666664,63.285714285714285,32.96
2020-03-23,73.86206896551724,116.5909090909091,60.083333333333336,75.9090909090909,64.86666666666666,54.9375
2020-03-24,51.92857142857143,121.33333333333333,46.714285714285715,70.57142857142857,48.13333333333333,41.0
2020-03-25,37.76190476190476,125.63157894736842,36.72727272727273,51.37931034482759,42.67857142857143,29.846153846153847
2020-03-26,35.578947368421055,126.35,36.90909090909091,53.107142857142854,42.925925925925924,31.22222222222222
2020-03-27,36.85,127.26315789473684,37.18181818181818,52.59375,43.96,32.391304347826086
2020-03-28,36.35,124.82352941176471,38.904761904761905,51.833333333333336,49.0,31.576923076923077
2020-03-29,37.18181818181818,119.5,39.90909090909091,49.26923076923077,66.46875,34.21739130434783
2020-03-30,40.125,126.58823529411765,37.523809523809526,54.53846153846154,44.44827586206897,32.32
2020-03-31,38.25,125.26666666666667,37.78260869565217,54.38709677419355,45.67857142857143,33.56
2020-04-01,36.5,125.5,36.6,54.42857142857143,42.714285714285715,30.73913043478261
2020-04-02,36.10526315789474,126.82608695652173,35.95,52.793103448275865,43.37931034482759,31.59259259259259
2020-04-03,40.31578947368421,126.78947368421052,38.86363636363637,54.82142857142857,47.55555555555556,34.43478260869565
2020-04-04,38.15,124.22222222222223,38.52173913043478,53.851851851851855,53.096774193548384,32.44
2020-04-05,38.09090909090909,118.66666666666667,40.0,50.642857142857146,71.96666666666667,34.34615384615385
2020-04-06,39.9,126.45,37.8,55.1,44.935483870967744,32.666666666666664
2020-04-07,50.0,123.76470588235294,43.17391304347826,58.40625,46.0,28.666666666666668
2020-04-08,50.04761904761905,125.76470588235294,42.458333333333336,60.1875,47.57692307692308,27.08695652173913
2020-04-09,49.42857142857143,126.25,41.25,58.4,45.5,27.857142857142858
2020-04-10,48.0,129.2,41.291666666666664,59.172413793103445,43.93103448275862,27.047619047619047
2020-04-11,50.42857142857143,125.52380952380952,43.0,53.689655172413794,51.333333333333336,27.4
