dates,Indonesia.Google_GroceryMobility.data,Indonesia.Google_ResidentialMobility.data,Indonesia.Google_TransitStationsMobility.data,Indonesia.Google_ParksMobility.data,Indonesia.Google_WorkplacesMobility.data,Indonesia.Google_RetailMobility.data
2020-02-15,97.76923076923077,101.0,98.05,99.15,107.53846153846153,97.93333333333334
2020-02-16,98.14285714285714,101.5,96.78947368421052,99.04761904761905,103.5,98.53846153846153
2020-02-17,97.13333333333334,101.5,97.70588235294117,94.52380952380952,102.22222222222223,95.53846153846153
2020-02-18,97.54545454545455,102.75,96.77777777777777,98.42105263157895,98.66666666666667,95.38461538461539
2020-02-19,96.18181818181819,102.0,97.41176470588235,97.66666666666667,97.45454545454545,95.16666666666667
2020-02-20,98.0,101.5,97.73684210526316,100.8,97.4,97.5
2020-02-21,97.82352941176471,101.5,101.80952380952381,98.52173913043478,101.33333333333333,97.25
2020-02-22,98.58333333333333,100.0,97.70588235294117,101.05263157894737,106.58333333333333,97.33333333333333
2020-02-23,97.27272727272727,101.0,100.4,98.22222222222223,103.0,98.33333333333333
2020-02-24,97.07692307692308,101.5,100.88235294117646,98.85714285714286,104.0,97.4
2020-02-25,97.07692307692308,102.71428571428571,99.22222222222223,96.83333333333333,98.75,95.61538461538461
2020-02-26,96.6923076923077,101.4,99.57894736842105,99.0909090909091,102.36363636363636,96.72727272727273
2020-02-27,99.35714285714286,101.0,100.72727272727273,100.0,102.6,97.9
2020-02-28,102.70588235294117,101.16666666666667,101.55,100.6,102.0,100.47058823529412
2020-02-29,102.5,100.0,99.21052631578948,99.45,105.86666666666666,100.5
2020-03-01,100.7,101.66666666666667,96.54545454545455,96.96,99.91666666666667,98.13333333333334
2020-03-02,107.15789473684211,100.5,100.4090909090909,99.31818181818181,104.0,102.0
2020-03-03,106.27777777777777,100.5,98.47619047619048,99.3,105.4,101.75
2020-03-04,104.05882352941177,101.5,97.04347826086956,96.81818181818181,104.0,100.78571428571429
2020-03-05,103.84615384615384,101.0,99.19047619047619,99.55555555555556,105.0,100.53846153846153
2020-03-06,103.1875,101.5,99.28571428571429,99.41666666666667,104.88888888888889,101.64285714285714
2020-03-07,102.6,101.0,99.63636363636364,98.5,107.53333333333333,99.64285714285714
2020-03-08,103.82352941176471,101.5,97.78947368421052,98.95454545454545,103.5,102.07692307692308
2020-03-09,100.53846153846153,101.75,100.94444444444444,99.19047619047619,104.72727272727273,100.0
2020-03-10,102.5,101.0,99.63157894736842,102.70588235294117,103.72727272727273,102.58333333333333
2020-03-11,103.25,100.0,97.33333333333333,104.33333333333333,103.9090909090909,102.5
2020-03-12,101.28571428571429,101.0,97.6842105263158,100.75,103.6,100.72727272727273
2020-03-13,102.22222222222223,101.0,97.52173913043478,99.33333333333333,104.57142857142857,100.46153846153847
2020-03-14,101.25,100.5,96.52941176470588,97.6842105263158,108.0,98.53846153846153
2020-03-15,104.6,102.0,91.28571428571429,93.85714285714286,104.88888888888889,95.375
2020-03-16,102.8125,104.0,93.55,92.6842105263158,96.42857142857143,94.9375
2020-03-17,100.14285714285714,104.5,90.14285714285714,92.3157894736842,92.8,93.76923076923077
2020-03-18,99.875,106.5,87.26315789473684,91.0,91.11764705882354,90.11111111111111
2020-03-19,96.82352941176471,107.5,81.95833333333333,86.28571428571429,89.23809523809524,85.47058823529412
2020-03-20,96.23529411764706,109.33333333333333,79.125,83.63636363636364,86.0,83.57894736842105
2020-03-21,94.33333333333333,107.5,73.94736842105263,72.80952380952381,91.41176470588235,78.26315789473684
2020-03-22,87.27777777777777,109.11111111111111,68.6,67.12,93.93333333333334,70.0
2020-03-23,90.58823529411765,112.6,67.6842105263158,78.35,77.73684210526316,75.2
2020-03-24,88.6470588235294,112.55555555555556,66.56521739130434,75.29411764705883,70.78947368421052,69.1875
2020-03-25,75.66666666666667,121.83333333333333,58.81818181818182,71.78260869565217,42.06666666666667,60.36363636363637
2020-03-26,78.76470588235294,115.27272727272727,58.904761904761905,70.77272727272727,67.52941176470588,63.89473684210526
2020-03-27,81.88888888888889,115.0,59.1,69.6086956521739,70.16666666666667,64.23529411764706
2020-03-28,77.125,114.11111111111111,57.17391304347826,58.791666666666664,78.61111111111111,57.55555555555556
2020-03-29,72.05882352941177,113.6,52.458333333333336,54.93103448275862,85.55555555555556,55.578947368421055
2020-03-30,78.53333333333333,115.44444444444444,57.578947368421055,69.55,68.94117647058823,63.94736842105263
2020-03-31,80.78947368421052,115.18181818181819,58.80952380952381,70.92,68.29411764705883,64.6470588235294
2020-04-01,85.0,113.9,54.63157894736842,71.63636363636364,67.77777777777777,66.0
2020-04-02,85.11111111111111,115.18181818181819,53.10526315789474,73.34782608695652,67.05555555555556,66.77777777777777
2020-04-03,81.78947368421052,115.66666666666667,49.88,70.92,67.53333333333333,65.3125
2020-04-04,79.2,113.0,47.45454545454545,62.333333333333336,75.57894736842105,61.3
2020-04-05,76.22222222222223,112.0,44.75,57.61538461538461,84.38888888888889,59.611111111111114
2020-04-06,81.44444444444444,114.8,49.57142857142857,73.1923076923077,68.11764705882354,66.5
2020-04-07,82.875,114.0,50.13636363636363,73.32,67.11111111111111,66.73684210526316
2020-04-08,82.3125,115.1,50.0,72.52380952380952,66.88888888888889,64.11111111111111
2020-04-09,87.9047619047619,113.9,50.44444444444444,73.1304347826087,67.16666666666667,67.52380952380952
2020-04-10,69.6,121.8125,41.0,64.45833333333333,42.470588235294116,54.24
2020-04-11,71.88235294117646,115.58333333333333,42.65,58.04545454545455,71.95,58.2
2020-04-12,71.66666666666667,114.0,41.333333333333336,54.47826086956522,84.82352941176471,54.526315789473685
2020-04-13,81.26315789473684,116.18181818181819,46.42857142857143,73.21739130434783,67.78947368421052,66.19047619047619
2020-04-14,79.3157894736842,115.23076923076923,48.4,71.75,67.5625,64.94736842105263
2020-04-15,80.66666666666667,115.75,47.68421052631579,71.6086956521739,67.3157894736842,64.7
2020-04-16,81.47368421052632,115.23076923076923,49.42857142857143,72.2,67.52941176470588,66.66666666666667
2020-04-17,78.23809523809524,116.54545454545455,45.04347826086956,72.21739130434783,68.76470588235294,62.68421052631579
2020-04-18,75.72222222222223,113.25,44.72727272727273,60.90909090909091,79.26315789473684,58.5
