dates,Indonesia.JHU_ConfirmedCases.data,Indonesia.JHU_ConfirmedDeaths.data,Indonesia.JHU_ConfirmedRecoveries.data
2020-08-13,132816.0,5968.0,
2020-08-14,135123.0,6021.0,
2020-08-15,137468.0,6071.0,
2020-08-16,139549.0,6150.0,
2020-08-17,141370.0,6207.0,
2020-08-18,143043.0,6277.0,
2020-08-19,144945.0,6346.0,
2020-08-20,147211.0,6418.0,
2020-08-21,149408.0,6500.0,
2020-08-22,151498.0,6594.0,
2020-08-23,153535.0,6680.0,
2020-08-24,155412.0,6759.0,
2020-08-25,157859.0,6858.0,
2020-08-26,160165.0,6944.0,
2020-08-27,162884.0,7064.0,
2020-08-28,165887.0,7169.0,
2020-08-29,169195.0,7261.0,
2020-08-30,172053.0,7343.0,
2020-08-31,174796.0,7417.0,
2020-09-01,177571.0,7505.0,
2020-09-02,180646.0,7616.0,
2020-09-03,184268.0,7750.0,
2020-09-04,187537.0,7832.0,
2020-09-05,190665.0,7940.0,
2020-09-06,194109.0,8025.0,
2020-09-07,196989.0,8130.0,
2020-09-08,200035.0,8230.0,
2020-09-09,203342.0,8336.0,
2020-09-10,207203.0,8456.0,
2020-09-11,210940.0,8544.0,
2020-09-12,214746.0,8650.0,
2020-09-13,218382.0,8723.0,
2020-09-14,221523.0,8841.0,
2020-09-15,225030.0,8965.0,
2020-09-16,228993.0,9100.0,
2020-09-17,232628.0,9222.0,
2020-09-18,236519.0,9336.0,
2020-09-19,240687.0,9448.0,
2020-09-20,244676.0,9553.0,
2020-09-21,248852.0,9677.0,
2020-09-22,252923.0,9837.0,
2020-09-23,257388.0,9977.0,
2020-09-24,262022.0,10105.0,
2020-09-25,266845.0,10218.0,
2020-09-26,271339.0,10308.0,
2020-09-27,275213.0,10386.0,
2020-09-28,278722.0,10473.0,
2020-09-29,282724.0,10601.0,
2020-09-30,287008.0,10740.0,
2020-10-01,291182.0,10856.0,
2020-10-02,295499.0,10972.0,
2020-10-03,299506.0,11055.0,
2020-10-04,303498.0,11151.0,
2020-10-05,307120.0,11253.0,
2020-10-06,311176.0,11374.0,
2020-10-07,315714.0,11472.0,
2020-10-08,320564.0,11580.0,
2020-10-09,324658.0,11677.0,
2020-10-10,328952.0,11765.0,
2020-10-11,333449.0,11844.0,
2020-10-12,336716.0,11935.0,
2020-10-13,340622.0,12027.0,
2020-10-14,344749.0,12156.0,
