dates,Turkey.JHU_ConfirmedCases.data,Turkey.JHU_ConfirmedDeaths.data,Turkey.JHU_ConfirmedRecoveries.data
2020-08-12,244392.0,5891.0,
2020-08-13,245635.0,5912.0,
2020-08-14,246861.0,5934.0,
2020-08-15,248117.0,5955.0,
2020-08-16,249309.0,5974.0,
2020-08-17,250542.0,5996.0,
2020-08-18,251805.0,6016.0,
2020-08-19,253108.0,6039.0,
2020-08-20,254520.0,6058.0,
2020-08-21,255723.0,6080.0,
2020-08-22,257032.0,6102.0,
2020-08-23,258249.0,6121.0,
2020-08-24,259692.0,6139.0,
2020-08-25,261194.0,6163.0,
2020-08-26,262507.0,6183.0,
2020-08-27,263998.0,6209.0,
2020-08-28,265515.0,6245.0,
2020-08-29,267064.0,6284.0,
2020-08-30,268546.0,6326.0,
2020-08-31,270133.0,6370.0,
2020-09-01,271705.0,6417.0,
2020-09-02,273301.0,6462.0,
2020-09-03,274943.0,6511.0,
2020-09-04,276555.0,6564.0,
2020-09-05,278228.0,6620.0,
2020-09-06,279806.0,6673.0,
2020-09-07,281509.0,6730.0,
2020-09-08,283270.0,6782.0,
2020-09-09,284943.0,6837.0,
2020-09-10,286455.0,6895.0,
2020-09-11,288126.0,6951.0,
2020-09-12,289635.0,6999.0,
2020-09-13,291162.0,7056.0,
2020-09-14,292878.0,7119.0,
2020-09-15,294620.0,7186.0,
2020-09-16,296391.0,7249.0,
2020-09-17,298039.0,7315.0,
2020-09-18,299810.0,7377.0,
2020-09-19,301348.0,7445.0,
2020-09-20,302867.0,7506.0,
2020-09-21,304610.0,7574.0,
2020-09-22,306302.0,7639.0,
2020-09-23,308069.0,7711.0,
2020-09-24,309790.0,7785.0,
2020-09-25,311455.0,7858.0,
2020-09-26,312966.0,7929.0,
2020-09-27,314433.0,7997.0,
2020-09-28,315845.0,8062.0,
2020-09-29,317272.0,8130.0,
2020-09-30,318663.0,8195.0,
2020-10-01,320070.0,8262.0,
2020-10-02,321512.0,8325.0,
2020-10-03,323014.0,8384.0,
2020-10-04,324443.0,8441.0,
2020-10-05,326046.0,8498.0,
2020-10-06,327557.0,8553.0,
2020-10-07,329138.0,8609.0,
2020-10-08,330753.0,8667.0,
2020-10-09,332382.0,8722.0,
2020-10-10,334031.0,8778.0,
2020-10-11,335533.0,8837.0,
2020-10-12,337147.0,8895.0,
2020-10-13,338779.0,8957.0,
2020-10-14,340450.0,9014.0,
