dates,Italy.JHU_ConfirmedCases.data,Italy.JHU_ConfirmedDeaths.data,Italy.JHU_ConfirmedRecoveries.data
2020-08-09,250566.0,35205.0,
2020-08-10,250825.0,35209.0,
2020-08-11,251237.0,35215.0,
2020-08-12,251713.0,35225.0,
2020-08-13,252235.0,35231.0,
2020-08-14,252809.0,35234.0,
2020-08-15,253438.0,35392.0,
2020-08-16,253915.0,35396.0,
2020-08-17,254235.0,35400.0,
2020-08-18,254636.0,35405.0,
2020-08-19,255278.0,35412.0,
2020-08-20,256118.0,35418.0,
2020-08-21,257065.0,35427.0,
2020-08-22,258136.0,35430.0,
2020-08-23,259345.0,35437.0,
2020-08-24,260298.0,35441.0,
2020-08-25,261174.0,35445.0,
2020-08-26,262540.0,35458.0,
2020-08-27,263949.0,35463.0,
2020-08-28,265409.0,35472.0,
2020-08-29,266853.0,35473.0,
2020-08-30,268218.0,35477.0,
2020-08-31,269214.0,35483.0,
2020-09-01,270189.0,35491.0,
2020-09-02,271515.0,35497.0,
2020-09-03,272912.0,35507.0,
2020-09-04,274644.0,35518.0,
2020-09-05,276338.0,35534.0,
2020-09-06,277634.0,35541.0,
2020-09-07,278784.0,35553.0,
2020-09-08,280153.0,35563.0,
2020-09-09,281583.0,35577.0,
2020-09-10,283180.0,35587.0,
2020-09-11,284796.0,35597.0,
2020-09-12,286297.0,35603.0,
2020-09-13,287753.0,35610.0,
2020-09-14,288761.0,35624.0,
2020-09-15,289990.0,35633.0,
2020-09-16,291442.0,35645.0,
2020-09-17,293025.0,35658.0,
2020-09-18,294932.0,35668.0,
2020-09-19,296569.0,35692.0,
2020-09-20,298156.0,35707.0,
2020-09-21,299506.0,35724.0,
2020-09-22,300897.0,35738.0,
2020-09-23,302537.0,35758.0,
2020-09-24,304323.0,35781.0,
2020-09-25,306235.0,35801.0,
2020-09-26,308104.0,35818.0,
2020-09-27,309870.0,35835.0,
2020-09-28,311364.0,35851.0,
2020-09-29,313011.0,35875.0,
2020-09-30,314861.0,35894.0,
2020-10-01,317409.0,35918.0,
2020-10-02,319908.0,35941.0,
2020-10-03,322751.0,35968.0,
2020-10-04,325329.0,35986.0,
2020-10-05,327586.0,36002.0,
2020-10-06,330263.0,36030.0,
2020-10-07,333940.0,36061.0,
2020-10-08,338398.0,36083.0,
2020-10-09,343770.0,36111.0,
2020-10-10,349494.0,36140.0,
2020-10-11,354950.0,36166.0,
2020-10-12,359569.0,36205.0,
2020-10-13,365467.0,36246.0,
2020-10-14,372799.0,36289.0,
