dates,Singapore.JHU_ConfirmedCases.data,Singapore.JHU_ConfirmedDeaths.data,Singapore.JHU_ConfirmedRecoveries.data
2020-08-19,56031.0,27.0,
2020-08-20,56099.0,27.0,
2020-08-21,56216.0,27.0,
2020-08-22,56266.0,27.0,
2020-08-23,56353.0,27.0,
2020-08-24,56404.0,27.0,
2020-08-25,56435.0,27.0,
2020-08-26,56495.0,27.0,
2020-08-27,56572.0,27.0,
2020-08-28,56666.0,27.0,
2020-08-29,56717.0,27.0,
2020-08-30,56771.0,27.0,
2020-08-31,56812.0,27.0,
2020-09-01,56852.0,27.0,
2020-09-02,56860.0,27.0,
2020-09-03,56908.0,27.0,
2020-09-04,56948.0,27.0,
2020-09-05,56982.0,27.0,
2020-09-06,57022.0,27.0,
2020-09-07,57044.0,27.0,
2020-09-08,57091.0,27.0,
2020-09-09,57166.0,27.0,
2020-09-10,57229.0,27.0,
2020-09-11,57315.0,27.0,
2020-09-12,57357.0,27.0,
2020-09-13,57406.0,27.0,
2020-09-14,57454.0,27.0,
2020-09-15,57488.0,27.0,
2020-09-16,57514.0,27.0,
2020-09-17,57532.0,27.0,
2020-09-18,57543.0,27.0,
2020-09-19,57558.0,27.0,
2020-09-20,57576.0,27.0,
2020-09-21,57606.0,27.0,
2020-09-22,57627.0,27.0,
2020-09-23,57639.0,27.0,
2020-09-24,57654.0,27.0,
2020-09-25,57665.0,27.0,
2020-09-26,57685.0,27.0,
2020-09-27,57700.0,27.0,
2020-09-28,57715.0,27.0,
2020-09-29,57742.0,27.0,
2020-09-30,57765.0,27.0,
2020-10-01,57784.0,27.0,
2020-10-02,57794.0,27.0,
2020-10-03,57800.0,27.0,
2020-10-04,57812.0,27.0,
2020-10-05,57819.0,27.0,
2020-10-06,57830.0,27.0,
2020-10-07,57840.0,27.0,
2020-10-08,57849.0,27.0,
2020-10-09,57859.0,27.0,
2020-10-10,57866.0,27.0,
2020-10-11,57876.0,27.0,
2020-10-12,57880.0,28.0,
2020-10-13,57884.0,28.0,
2020-10-14,57889.0,28.0,
