dates,China.JHU_ConfirmedCases.data,China.JHU_ConfirmedDeaths.data,China.JHU_ConfirmedRecoveries.data
2020-08-07,88534.0,4681.0,
2020-08-08,88626.0,4681.0,
2020-08-09,88747.0,4686.0,
2020-08-10,88860.0,4689.0,
2020-08-11,93106.0,4748.0,
2020-08-12,93226.0,4756.0,
2020-08-13,93325.0,4759.0,
2020-08-14,93395.0,4760.0,
2020-08-15,93460.0,4762.0,
2020-08-16,93556.0,4762.0,
2020-08-17,93622.0,4762.0,
2020-08-18,93675.0,4764.0,
2020-08-19,93708.0,4765.0,
2020-08-20,93748.0,4768.0,
2020-08-21,93797.0,4768.0,
2020-08-22,93835.0,4770.0,
2020-08-23,93876.0,4770.0,
2020-08-24,93899.0,4770.0,
2020-08-25,93933.0,4771.0,
2020-08-26,93965.0,4772.0,
2020-08-27,93995.0,4774.0,
2020-08-28,94017.0,4777.0,
2020-08-29,94044.0,4780.0,
2020-08-30,94076.0,4781.0,
2020-08-31,94095.0,4782.0,
2020-09-01,89887.0,4724.0,
2020-09-02,89907.0,4727.0,
2020-09-03,89940.0,4728.0,
2020-09-04,89962.0,4728.0,
2020-09-05,89979.0,4728.0,
2020-09-06,90012.0,4730.0,
2020-09-07,90032.0,4732.0,
2020-09-08,90041.0,4733.0,
2020-09-09,90054.0,4733.0,
2020-09-10,90081.0,4733.0,
2020-09-11,90099.0,4733.0,
2020-09-12,90122.0,4734.0,
2020-09-13,90151.0,4734.0,
2020-09-14,90173.0,4735.0,
2020-09-15,90189.0,4736.0,
2020-09-16,90207.0,4736.0,
2020-09-17,90248.0,4736.0,
2020-09-18,90265.0,4737.0,
2020-09-19,90288.0,4737.0,
2020-09-20,90323.0,4737.0,
2020-09-21,90335.0,4737.0,
2020-09-22,90353.0,4737.0,
2020-09-23,90363.0,4738.0,
2020-09-24,90378.0,4738.0,
2020-09-25,90395.0,4739.0,
2020-09-26,90410.0,4739.0,
2020-09-27,90437.0,4739.0,
2020-09-28,90459.0,4739.0,
2020-09-29,90482.0,4739.0,
2020-09-30,90499.0,4739.0,
2020-10-01,90521.0,4739.0,
2020-10-02,90538.0,4739.0,
2020-10-03,90558.0,4739.0,
2020-10-04,90583.0,4739.0,
2020-10-05,90606.0,4739.0,
2020-10-06,90621.0,4739.0,
2020-10-07,90641.0,4739.0,
2020-10-08,90682.0,4739.0,
2020-10-09,90705.0,4739.0,
2020-10-10,90732.0,4739.0,
2020-10-11,90766.0,4739.0,
2020-10-12,90784.0,4739.0,
2020-10-13,90812.0,4739.0,
2020-10-14,90823.0,4739.0,
