dates,UnitedKingdom.JHU_ConfirmedCases.data,UnitedKingdom.JHU_ConfirmedDeaths.data,UnitedKingdom.JHU_ConfirmedRecoveries.data
2020-08-10,313392.0,46611.0,
2020-08-11,313394.0,46611.0,
2020-08-12,315581.0,46791.0,
2020-08-13,315600.0,46791.0,
2020-08-14,315621.0,46791.0,
2020-08-15,319232.0,46791.0,
2020-08-16,320343.0,46791.0,
2020-08-17,321064.0,41454.0,
2020-08-18,322177.0,41466.0,
2020-08-19,323008.0,41483.0,
2020-08-20,324203.0,41489.0,
2020-08-21,325263.0,41491.0,
2020-08-22,326595.0,41509.0,
2020-08-23,327643.0,41515.0,
2020-08-24,328620.0,41519.0,
2020-08-25,329821.0,41535.0,
2020-08-26,330967.0,41552.0,
2020-08-27,332509.0,41564.0,
2020-08-28,333806.0,41573.0,
2020-08-29,334916.0,41585.0,
2020-08-30,336668.0,41586.0,
2020-08-31,338083.0,41589.0,
2020-09-01,339415.0,41592.0,
2020-09-02,340929.0,41602.0,
2020-09-03,342708.0,41616.0,
2020-09-04,344686.0,41626.0,
2020-09-05,346513.0,41638.0,
2020-09-06,349500.0,41640.0,
2020-09-07,352451.0,41643.0,
2020-09-08,354932.0,41675.0,
2020-09-09,357613.0,41683.0,
2020-09-10,360544.0,41697.0,
2020-09-11,364088.0,41703.0,
2020-09-12,367592.0,41712.0,
2020-09-13,370930.0,41717.0,
2020-09-14,373555.0,41726.0,
2020-09-15,376670.0,41753.0,
2020-09-16,380677.0,41773.0,
2020-09-17,384087.0,41794.0,
2020-09-18,388416.0,41821.0,
2020-09-19,392845.0,41848.0,
2020-09-20,396744.0,41866.0,
2020-09-21,401122.0,41877.0,
2020-09-22,406058.0,41951.0,
2020-09-23,412245.0,41951.0,
2020-09-24,418889.0,41991.0,
2020-09-25,425767.0,42025.0,
2020-09-26,431817.0,42060.0,
2020-09-27,437517.0,42077.0,
2020-09-28,441573.0,42090.0,
2020-09-29,448729.0,42162.0,
2020-09-30,455846.0,42233.0,
2020-10-01,462775.0,42292.0,
2020-10-02,469769.0,42358.0,
2020-10-03,482654.0,42407.0,
2020-10-04,505619.0,42440.0,
2020-10-05,518222.0,42459.0,
2020-10-06,532779.0,42535.0,
2020-10-07,546952.0,42605.0,
2020-10-08,564502.0,42682.0,
2020-10-09,578390.0,42769.0,
2020-10-10,593565.0,42850.0,
2020-10-11,606447.0,42915.0,
2020-10-12,620458.0,42965.0,
2020-10-13,637708.0,43108.0,
2020-10-14,657459.0,43245.0,
