dates,France.JHU_ConfirmedCases.data,France.JHU_ConfirmedDeaths.data,France.JHU_ConfirmedRecoveries.data
2020-08-10,239349.0,30327.0,
2020-08-11,239355.0,30328.0,
2020-08-12,244088.0,30375.0,
2020-08-13,244096.0,30392.0,
2020-08-14,249655.0,30410.0,
2020-08-15,252965.0,30410.0,
2020-08-16,252965.0,30410.0,
2020-08-17,256533.0,30434.0,
2020-08-18,256534.0,30434.0,
2020-08-19,256534.0,30434.0,
2020-08-20,256534.0,30434.0,
2020-08-21,271960.0,30508.0,
2020-08-22,275562.0,30517.0,
2020-08-23,280459.0,30518.0,
2020-08-24,282414.0,30533.0,
2020-08-25,285902.0,30549.0,
2020-08-26,291374.0,30549.0,
2020-08-27,297485.0,30581.0,
2020-08-28,304947.0,30601.0,
2020-08-29,304947.0,30601.0,
2020-08-30,315813.0,30611.0,
2020-08-31,318986.0,30640.0,
2020-09-01,323968.0,30666.0,
2020-09-02,331060.0,30692.0,
2020-09-03,338220.0,30712.0,
2020-09-04,347267.0,30730.0,
2020-09-05,347267.0,30730.0,
2020-09-06,347268.0,30730.0,
2020-09-07,367174.0,30732.0,
2020-09-08,373718.0,30770.0,
2020-09-09,383292.0,30805.0,
2020-09-10,392243.0,30819.0,
2020-09-11,401890.0,30901.0,
2020-09-12,402811.0,30902.0,
2020-09-13,402893.0,30903.0,
2020-09-14,425870.0,30958.0,
2020-09-15,433905.0,31007.0,
2020-09-16,443869.0,31056.0,
2020-09-17,454266.0,31103.0,
2020-09-18,467421.0,31257.0,
2020-09-19,467614.0,31257.0,
2020-09-20,467614.0,31257.0,
2020-09-21,496851.0,31346.0,
2020-09-22,507150.0,31426.0,
2020-09-23,508456.0,31447.0,
2020-09-24,536289.0,31524.0,
2020-09-25,552421.0,31675.0,
2020-09-26,552454.0,31675.0,
2020-09-27,552473.0,31675.0,
2020-09-28,577980.0,31744.0,
2020-09-29,590021.0,31908.0,
2020-09-30,604031.0,31986.0,
2020-10-01,616986.0,32034.0,
2020-10-02,629431.0,32171.0,
2020-10-03,629509.0,32171.0,
2020-10-04,629509.0,32171.0,
2020-10-05,664289.0,32317.0,
2020-10-06,675736.0,32383.0,
2020-10-07,693603.0,32463.0,
2020-10-08,711704.0,32539.0,
2020-10-09,732434.0,32601.0,
2020-10-10,732434.0,32601.0,
2020-10-11,732434.0,32601.0,
2020-10-12,776097.0,32703.0,
2020-10-13,798257.0,32982.0,
2020-10-14,820376.0,33058.0,
