dates,Germany.JHU_ConfirmedCases.data,Germany.JHU_ConfirmedDeaths.data,Germany.JHU_ConfirmedRecoveries.data
2020-08-11,219540.0,9208.0,
2020-08-12,220859.0,9213.0,
2020-08-13,222281.0,9217.0,
2020-08-14,223791.0,9230.0,
2020-08-15,224488.0,9235.0,
2020-08-16,225007.0,9235.0,
2020-08-17,226700.0,9236.0,
2020-08-18,228120.0,9241.0,
2020-08-19,229706.0,9249.0,
2020-08-20,231292.0,9263.0,
2020-08-21,233029.0,9266.0,
2020-08-22,233861.0,9272.0,
2020-08-23,234494.0,9275.0,
2020-08-24,236122.0,9276.0,
2020-08-25,237583.0,9281.0,
2020-08-26,239010.0,9285.0,
2020-08-27,240571.0,9290.0,
2020-08-28,242126.0,9290.0,
2020-08-29,242835.0,9299.0,
2020-08-30,243305.0,9300.0,
2020-08-31,244802.0,9303.0,
2020-09-01,246015.0,9307.0,
2020-09-02,247411.0,9322.0,
2020-09-03,248840.0,9322.0,
2020-09-04,250283.0,9327.0,
2020-09-05,251058.0,9329.0,
2020-09-06,251728.0,9330.0,
2020-09-07,253626.0,9331.0,
2020-09-08,254957.0,9336.0,
2020-09-09,256433.0,9342.0,
2020-09-10,258149.0,9345.0,
2020-09-11,259735.0,9348.0,
2020-09-12,260817.0,9352.0,
2020-09-13,261737.0,9354.0,
2020-09-14,263222.0,9356.0,
2020-09-15,265014.0,9367.0,
2020-09-16,266869.0,9373.0,
2020-09-17,269048.0,9376.0,
2020-09-18,271247.0,9386.0,
2020-09-19,272932.0,9388.0,
2020-09-20,273965.0,9390.0,
2020-09-21,275560.0,9390.0,
2020-09-22,277412.0,9405.0,
2020-09-23,279025.0,9423.0,
2020-09-24,281346.0,9436.0,
2020-09-25,283712.0,9451.0,
2020-09-26,285026.0,9459.0,
2020-09-27,286339.0,9464.0,
2020-09-28,288631.0,9468.0,
2020-09-29,290471.0,9483.0,
2020-09-30,292913.0,9495.0,
2020-10-01,295539.0,9509.0,
2020-10-02,298374.0,9518.0,
2020-10-03,300027.0,9531.0,
2020-10-04,301573.0,9533.0,
2020-10-05,304673.0,9554.0,
2020-10-06,307127.0,9566.0,
2020-10-07,311137.0,9582.0,
2020-10-08,315941.0,9545.0,
2020-10-09,320495.0,9599.0,
2020-10-10,323463.0,9620.0,
2020-10-11,326309.0,9626.0,
2020-10-12,332850.0,9640.0,
2020-10-13,337314.0,9682.0,
2020-10-14,344487.0,9716.0,
