dates,Thailand.JHU_ConfirmedCases.data,Thailand.JHU_ConfirmedDeaths.data,Thailand.JHU_ConfirmedRecoveries.data
2020-08-19,3382.0,58.0,
2020-08-20,3389.0,58.0,
2020-08-21,3390.0,58.0,
2020-08-22,3390.0,58.0,
2020-08-23,3395.0,58.0,
2020-08-24,3402.0,58.0,
2020-08-25,3402.0,58.0,
2020-08-26,3404.0,58.0,
2020-08-27,3410.0,58.0,
2020-08-28,3411.0,58.0,
2020-08-29,3411.0,58.0,
2020-08-30,3411.0,58.0,
2020-08-31,3417.0,58.0,
2020-09-01,3425.0,58.0,
2020-09-02,3427.0,58.0,
2020-09-03,3431.0,58.0,
2020-09-04,3431.0,58.0,
2020-09-05,3444.0,58.0,
2020-09-06,3445.0,58.0,
2020-09-07,3446.0,58.0,
2020-09-08,3447.0,58.0,
2020-09-09,3454.0,58.0,
2020-09-10,3461.0,58.0,
2020-09-11,3461.0,58.0,
2020-09-12,3473.0,58.0,
2020-09-13,3475.0,58.0,
2020-09-14,3475.0,58.0,
2020-09-15,3490.0,58.0,
2020-09-16,3490.0,58.0,
2020-09-17,3497.0,58.0,
2020-09-18,3497.0,58.0,
2020-09-19,3506.0,59.0,
2020-09-20,3506.0,59.0,
2020-09-21,3511.0,59.0,
2020-09-22,3514.0,59.0,
2020-09-23,3516.0,59.0,
2020-09-24,3519.0,59.0,
2020-09-25,3522.0,59.0,
2020-09-26,3523.0,59.0,
2020-09-27,3523.0,59.0,
2020-09-28,3559.0,59.0,
2020-09-29,3564.0,59.0,
2020-09-30,3569.0,59.0,
2020-10-01,3575.0,59.0,
2020-10-02,3583.0,59.0,
2020-10-03,3585.0,59.0,
2020-10-04,3590.0,59.0,
2020-10-05,3600.0,59.0,
2020-10-06,3615.0,59.0,
2020-10-07,3622.0,59.0,
2020-10-08,3628.0,59.0,
2020-10-09,3634.0,59.0,
2020-10-10,3636.0,59.0,
2020-10-11,3641.0,59.0,
2020-10-12,3643.0,59.0,
2020-10-13,3652.0,59.0,
2020-10-14,3652.0,59.0,
