dates,Portugal.JHU_ConfirmedCases.data,Portugal.JHU_ConfirmedDeaths.data,Portugal.JHU_ConfirmedRecoveries.data
2020-08-13,53548.0,1770.0,
2020-08-14,53783.0,1772.0,
2020-08-15,53981.0,1775.0,
2020-08-16,54102.0,1778.0,
2020-08-17,54234.0,1779.0,
2020-08-18,54448.0,1784.0,
2020-08-19,54701.0,1786.0,
2020-08-20,54992.0,1788.0,
2020-08-21,55211.0,1792.0,
2020-08-22,55452.0,1794.0,
2020-08-23,55597.0,1796.0,
2020-08-24,55720.0,1801.0,
2020-08-25,55912.0,1805.0,
2020-08-26,56274.0,1807.0,
2020-08-27,56673.0,1809.0,
2020-08-28,57074.0,1815.0,
2020-08-29,57448.0,1818.0,
2020-08-30,57768.0,1819.0,
2020-08-31,58012.0,1822.0,
2020-09-01,58243.0,1824.0,
2020-09-02,58633.0,1827.0,
2020-09-03,59051.0,1829.0,
2020-09-04,59457.0,1833.0,
2020-09-05,59943.0,1838.0,
2020-09-06,60258.0,1840.0,
2020-09-07,60507.0,1843.0,
2020-09-08,60895.0,1846.0,
2020-09-09,61541.0,1849.0,
2020-09-10,62126.0,1852.0,
2020-09-11,62813.0,1855.0,
2020-09-12,63310.0,1860.0,
2020-09-13,63983.0,1867.0,
2020-09-14,64596.0,1871.0,
2020-09-15,65021.0,1875.0,
2020-09-16,65626.0,1878.0,
2020-09-17,66396.0,1888.0,
2020-09-18,67176.0,1894.0,
2020-09-19,68025.0,1899.0,
2020-09-20,68577.0,1912.0,
2020-09-21,69200.0,1920.0,
2020-09-22,69663.0,1925.0,
2020-09-23,70465.0,1928.0,
2020-09-24,71156.0,1931.0,
2020-09-25,72055.0,1936.0,
2020-09-26,72939.0,1944.0,
2020-09-27,73604.0,1953.0,
2020-09-28,74029.0,1957.0,
2020-09-29,74717.0,1963.0,
2020-09-30,75542.0,1971.0,
2020-10-01,76396.0,1977.0,
2020-10-02,77284.0,1983.0,
2020-10-03,78247.0,1995.0,
2020-10-04,79151.0,2005.0,
2020-10-05,79885.0,2018.0,
2020-10-06,80312.0,2032.0,
2020-10-07,81256.0,2040.0,
2020-10-08,82534.0,2050.0,
2020-10-09,83928.0,2062.0,
2020-10-10,85574.0,2067.0,
2020-10-11,86664.0,2080.0,
2020-10-12,87913.0,2094.0,
2020-10-13,89121.0,2110.0,
2020-10-14,91193.0,2117.0,
