dates,Canada.JHU_ConfirmedCases.data,Canada.JHU_ConfirmedDeaths.data,Canada.JHU_ConfirmedRecoveries.data
2020-08-12,122703.0,9052.0,
2020-08-13,123180.0,9063.0,
2020-08-14,123605.0,9068.0,
2020-08-15,123825.0,9072.0,
2020-08-16,124004.0,9074.0,
2020-08-17,124218.0,9075.0,
2020-08-18,125084.0,9090.0,
2020-08-19,125408.0,9095.0,
2020-08-20,125625.0,9097.0,
2020-08-21,126319.0,9110.0,
2020-08-22,126560.0,9117.0,
2020-08-23,126817.0,9119.0,
2020-08-24,127594.0,9129.0,
2020-08-25,127903.0,9136.0,
2020-08-26,128380.0,9141.0,
2020-08-27,128836.0,9148.0,
2020-08-28,129342.0,9155.0,
2020-08-29,129639.0,9161.0,
2020-08-30,129888.0,9164.0,
2020-08-31,130918.0,9173.0,
2020-09-01,131422.0,9179.0,
2020-09-02,131941.0,9182.0,
2020-09-03,132527.0,9189.0,
2020-09-04,133141.0,9190.0,
2020-09-05,133511.0,9192.0,
2020-09-06,133890.0,9194.0,
2020-09-07,134295.0,9196.0,
2020-09-08,135757.0,9203.0,
2020-09-09,136135.0,9204.0,
2020-09-10,136956.0,9213.0,
2020-09-11,137676.0,9214.0,
2020-09-12,138164.0,9220.0,
2020-09-13,138640.0,9220.0,
2020-09-14,140098.0,9229.0,
2020-09-15,140900.0,9239.0,
2020-09-16,141852.0,9244.0,
2020-09-17,142879.0,9249.0,
2020-09-18,144053.0,9256.0,
2020-09-19,144607.0,9262.0,
2020-09-20,145750.0,9267.0,
2020-09-21,147583.0,9279.0,
2020-09-22,148855.0,9286.0,
2020-09-23,149939.0,9294.0,
2020-09-24,151087.0,9297.0,
2020-09-25,152717.0,9306.0,
2020-09-26,153770.0,9313.0,
2020-09-27,155428.0,9318.0,
2020-09-28,157219.0,9328.0,
2020-09-29,158991.0,9340.0,
2020-09-30,161107.0,9346.0,
2020-10-01,162930.0,9368.0,
2020-10-02,165054.0,9466.0,
2020-10-03,166360.0,9488.0,
2020-10-04,168501.0,9533.0,
2020-10-05,171384.0,9560.0,
2020-10-06,173756.0,9582.0,
2020-10-07,175380.0,9593.0,
2020-10-08,177730.0,9609.0,
2020-10-09,180625.0,9638.0,
2020-10-10,182767.0,9661.0,
2020-10-11,184403.0,9666.0,
2020-10-12,185378.0,9680.0,
2020-10-13,189489.0,9707.0,
2020-10-14,192064.0,9719.0,
