dates,Norway.JHU_ConfirmedCases.data,Norway.JHU_ConfirmedDeaths.data,Norway.JHU_ConfirmedRecoveries.data
2020-08-19,10162.0,262.0,
2020-08-20,10197.0,264.0,
2020-08-21,10275.0,264.0,
2020-08-22,10299.0,264.0,
2020-08-23,10323.0,264.0,
2020-08-24,10395.0,264.0,
2020-08-25,10454.0,264.0,
2020-08-26,10504.0,264.0,
2020-08-27,10542.0,264.0,
2020-08-28,10582.0,264.0,
2020-08-29,10611.0,264.0,
2020-08-30,10643.0,264.0,
2020-08-31,10782.0,264.0,
2020-09-01,10871.0,264.0,
2020-09-02,11034.0,264.0,
2020-09-03,11120.0,264.0,
2020-09-04,11231.0,264.0,
2020-09-05,11296.0,264.0,
2020-09-06,11388.0,264.0,
2020-09-07,11521.0,264.0,
2020-09-08,11623.0,264.0,
2020-09-09,11746.0,264.0,
2020-09-10,11867.0,265.0,
2020-09-11,12003.0,265.0,
2020-09-12,12079.0,265.0,
2020-09-13,12154.0,265.0,
2020-09-14,12276.0,265.0,
2020-09-15,12393.0,265.0,
2020-09-16,12498.0,265.0,
2020-09-17,12644.0,266.0,
2020-09-18,12769.0,267.0,
2020-09-19,12858.0,267.0,
2020-09-20,12897.0,267.0,
2020-09-21,13005.0,267.0,
2020-09-22,13153.0,267.0,
2020-09-23,13277.0,267.0,
2020-09-24,13406.0,270.0,
2020-09-25,13545.0,270.0,
2020-09-26,13627.0,270.0,
2020-09-27,13698.0,270.0,
2020-09-28,13788.0,274.0,
2020-09-29,13915.0,274.0,
2020-09-30,14027.0,274.0,
2020-10-01,14149.0,274.0,
2020-10-02,14284.0,275.0,
2020-10-03,14362.0,275.0,
2020-10-04,14457.0,275.0,
2020-10-05,14605.0,275.0,
2020-10-06,14784.0,275.0,
2020-10-07,15013.0,275.0,
2020-10-08,15221.0,275.0,
2020-10-09,15388.0,275.0,
2020-10-10,15466.0,275.0,
2020-10-11,15524.0,275.0,
2020-10-12,15639.0,276.0,
2020-10-13,15793.0,277.0,
2020-10-14,15953.0,277.0,
