dates,Netherlands.JHU_ConfirmedCases.data,Netherlands.JHU_ConfirmedDeaths.data,Netherlands.JHU_ConfirmedRecoveries.data
2020-08-10,60058.0,6178.0,
2020-08-11,60940.0,6180.0,
2020-08-12,61718.0,6182.0,
2020-08-13,62406.0,6187.0,
2020-08-14,63127.0,6189.0,
2020-08-15,63889.0,6191.0,
2020-08-16,64468.0,6194.0,
2020-08-17,64980.0,6194.0,
2020-08-18,65560.0,6197.0,
2020-08-19,66218.0,6204.0,
2020-08-20,66843.0,6215.0,
2020-08-21,67456.0,6219.0,
2020-08-22,68051.0,6225.0,
2020-08-23,68570.0,6225.0,
2020-08-24,69224.0,6227.0,
2020-08-25,69683.0,6233.0,
2020-08-26,70382.0,6241.0,
2020-08-27,70984.0,6244.0,
2020-08-28,71557.0,6247.0,
2020-08-29,72128.0,6252.0,
2020-08-30,72679.0,6252.0,
2020-08-31,73232.0,6252.0,
2020-09-01,73802.0,6260.0,
2020-09-02,74660.0,6267.0,
2020-09-03,75356.0,6268.0,
2020-09-04,76173.0,6270.0,
2020-09-05,76907.0,6275.0,
2020-09-06,77857.0,6277.0,
2020-09-07,78702.0,6278.0,
2020-09-08,79792.0,6279.0,
2020-09-09,81085.0,6281.0,
2020-09-10,82016.0,6285.0,
2020-09-11,83370.0,6290.0,
2020-09-12,84709.0,6291.0,
2020-09-13,85876.0,6292.0,
2020-09-14,87194.0,6296.0,
2020-09-15,88673.0,6300.0,
2020-09-16,90425.0,6303.0,
2020-09-17,92262.0,6310.0,
2020-09-18,94345.0,6318.0,
2020-09-19,96261.0,6320.0,
2020-09-20,98217.0,6324.0,
2020-09-21,100491.0,6327.0,
2020-09-22,102844.0,6338.0,
2020-09-23,105304.0,6344.0,
2020-09-24,107899.0,6361.0,
2020-09-25,110758.0,6377.0,
2020-09-26,113518.0,6415.0,
2020-09-27,113564.0,6415.0,
2020-09-28,115640.0,6415.0,
2020-09-29,122620.0,6443.0,
2020-09-30,125988.0,6457.0,
2020-10-01,129283.0,6470.0,
2020-10-02,133166.0,6482.0,
2020-10-03,137194.0,6503.0,
2020-10-04,141226.0,6508.0,
2020-10-05,141258.0,6509.0,
2020-10-06,150413.0,6538.0,
2020-10-07,155465.0,6574.0,
2020-10-08,161332.0,6587.0,
2020-10-09,167348.0,6601.0,
2020-10-10,173894.0,6624.0,
2020-10-11,180288.0,6642.0,
2020-10-12,187138.0,6654.0,
2020-10-13,194591.0,6689.0,
2020-10-14,201942.0,6720.0,
