dates,Greece.JHU_ConfirmedCases.data,Greece.JHU_ConfirmedDeaths.data,Greece.JHU_ConfirmedRecoveries.data
2020-08-19,7684.0,235.0,
2020-08-20,7934.0,235.0,
2020-08-21,8138.0,238.0,
2020-08-22,8381.0,240.0,
2020-08-23,8664.0,242.0,
2020-08-24,8819.0,242.0,
2020-08-25,8987.0,243.0,
2020-08-26,9280.0,248.0,
2020-08-27,9531.0,254.0,
2020-08-28,9800.0,259.0,
2020-08-29,9977.0,260.0,
2020-08-30,10134.0,262.0,
2020-08-31,10317.0,266.0,
2020-09-01,10524.0,271.0,
2020-09-02,10757.0,273.0,
2020-09-03,10998.0,278.0,
2020-09-04,11200.0,279.0,
2020-09-05,11386.0,280.0,
2020-09-06,11524.0,284.0,
2020-09-07,11663.0,289.0,
2020-09-08,11832.0,290.0,
2020-09-09,12080.0,293.0,
2020-09-10,12452.0,297.0,
2020-09-11,12734.0,300.0,
2020-09-12,13036.0,302.0,
2020-09-13,13240.0,305.0,
2020-09-14,13420.0,310.0,
2020-09-15,13730.0,313.0,
2020-09-16,14041.0,316.0,
2020-09-17,14400.0,325.0,
2020-09-18,14738.0,327.0,
2020-09-19,14978.0,331.0,
2020-09-20,15142.0,338.0,
2020-09-21,15595.0,344.0,
2020-09-22,15928.0,352.0,
2020-09-23,16286.0,357.0,
2020-09-24,16627.0,366.0,
2020-09-25,16913.0,369.0,
2020-09-26,17228.0,376.0,
2020-09-27,17444.0,379.0,
2020-09-28,17707.0,383.0,
2020-09-29,18123.0,388.0,
2020-09-30,18475.0,391.0,
2020-10-01,18886.0,393.0,
2020-10-02,19346.0,398.0,
2020-10-03,19613.0,405.0,
2020-10-04,19842.0,409.0,
2020-10-05,20142.0,417.0,
2020-10-06,20541.0,420.0,
2020-10-07,20947.0,424.0,
2020-10-08,21381.0,430.0,
2020-10-09,21772.0,431.0,
2020-10-10,22078.0,436.0,
2020-10-11,22358.0,449.0,
2020-10-12,22652.0,456.0,
2020-10-13,23060.0,462.0,
2020-10-14,23495.0,469.0,
