startDate,policyType,name,location.id
2020-03-26T00:00:00Z,C5, Close public transport,SouthAfrica
2020-03-26T00:00:00Z,C6, Stay at home requirements,SouthAfrica
2020-03-26T00:00:00Z,C7, Restrictions on internal movement,SouthAfrica
2020-04-21T00:00:00Z,E1, Income support,SouthAfrica
2020-04-21T00:00:00Z,E2, Debt/contract relief,SouthAfrica
2020-03-16T00:00:00Z,C1, School closing,Spain
2020-03-14T00:00:00Z,C2, Workplace closing,Spain
2020-03-14T00:00:00Z,C3, Cancel public events,Spain
2020-05-13T00:00:00Z,C4, Restrictions on gatherings,Spain
2020-03-14T00:00:00Z,C5, Close public transport,Spain
2020-03-14T00:00:00Z,C6, Stay at home requirements,Spain
2020-03-14T00:00:00Z,C7, Restrictions on internal movement,Spain
2020-05-04T00:00:00Z,E1, Income support,Spain
2020-03-17T00:00:00Z,E2, Debt/contract relief,Spain
2020-03-18T00:00:00Z,C1, School closing,Sweden
2020-04-04T00:00:00Z,C2, Workplace closing,Sweden
2020-04-01T00:00:00Z,C3, Cancel public events,Sweden
2020-03-29T00:00:00Z,C4, Restrictions on gatherings,Sweden
2020-04-14T00:00:00Z,C5, Close public transport,Sweden
2020-04-24T00:00:00Z,C6, Stay at home requirements,Sweden
2020-04-04T00:00:00Z,C7, Restrictions on internal movement,Sweden
2020-05-13T00:00:00Z,E1, Income support,Sweden
2020-03-16T00:00:00Z,E2, Debt/contract relief,Sweden
2020-03-13T00:00:00Z,C1, School closing,Switzerland
2020-03-17T00:00:00Z,C2, Workplace closing,Switzerland
2020-06-06T00:00:00Z,C3, Cancel public events,Switzerland
2020-02-28T00:00:00Z,C3, Cancel public events,Switzerland
2020-03-17T00:00:00Z,C4, Restrictions on gatherings,Switzerland
2020-03-13T00:00:00Z,C5, Close public transport,Switzerland
2020-03-17T00:00:00Z,C6, Stay at home requirements,Switzerland
2020-03-20T00:00:00Z,E1, Income support,Switzerland
2020-03-19T00:00:00Z,E2, Debt/contract relief,Switzerland
2020-03-17T00:00:00Z,C7, Restrictions on internal movement,Switzerland
2020-03-16T00:00:00Z,C1, School closing,Turkey
2020-03-22T00:00:00Z,C2, Workplace closing,Turkey
2020-03-16T00:00:00Z,C3, Cancel public events,Turkey
2020-08-18T00:00:00Z,C4, Restrictions on gatherings,Turkey
2020-03-24T00:00:00Z,C5, Close public transport,Turkey
2020-04-20T00:00:00Z,C6, Stay at home requirements,Turkey
2020-03-28T00:00:00Z,C7, Restrictions on internal movement,Turkey
2020-06-01T00:00:00Z,E1, Income support,Turkey
2020-06-01T00:00:00Z,E2, Debt/contract relief,Turkey
2020-03-23T00:00:00Z,C1, School closing,UnitedKingdom
2020-03-26T00:00:00Z,C2, Workplace closing,UnitedKingdom
2020-03-21T00:00:00Z,C3, Cancel public events,UnitedKingdom
2020-03-23T00:00:00Z,C4, Restrictions on gatherings,UnitedKingdom
2020-03-20T00:00:00Z,C5, Close public transport,UnitedKingdom
2020-03-23T00:00:00Z,C6, Stay at home requirements,UnitedKingdom
2020-03-22T00:00:00Z,C7, Restrictions on internal movement,UnitedKingdom
2020-03-20T00:00:00Z,E1, Income support,UnitedKingdom
2020-04-09T00:00:00Z,E2, Debt/contract relief,UnitedKingdom
2020-03-23T00:00:00Z,C2, Workplace closing,Australia
2020-03-18T00:00:00Z,C3, Cancel public events,Australia
2020-03-24T00:00:00Z,C4, Restrictions on gatherings,Australia
2020-04-02T00:00:00Z,C5, Close public transport,Australia
2020-03-24T00:00:00Z,C6, Stay at home requirements,Australia
2020-04-02T00:00:00Z,C7, Restrictions on internal movement,Australia
2020-03-12T00:00:00Z,E1, Income support,Australia
2020-03-25T00:00:00Z,E2, Debt/contract relief,Australia
2020-02-12T00:00:00Z,C1, School closing,China
2020-02-03T00:00:00Z,C2, Workplace closing,China
2020-02-16T00:00:00Z,C3, Cancel public events,China
2020-01-22T00:00:00Z,C4, Restrictions on gatherings,China
2020-05-10T00:00:00Z,C4, Restrictions on gatherings,China
2020-03-19T00:00:00Z,C5, Close public transport,China
2020-02-11T00:00:00Z,C6, Stay at home requirements,China
2020-01-23T00:00:00Z,C7, Restrictions on internal movement,China
2020-04-11T00:00:00Z,E1, Income support,China
2020-05-21T00:00:00Z,E2, Debt/contract relief,China
